Start time,End time,Calories (kcal),Distance (m),Height (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Heart Minutes,Inactive duration (ms)
00:00:00.000Z,00:15:00.000Z,16.29982376,,,,,,,,,,,,
00:15:00.000Z,00:30:00.000Z,16.29982376,,,,,,,,,,,,
00:30:00.000Z,00:45:00.000Z,16.29982376,,,,,,,,,,,,
00:45:00.000Z,01:00:00.000Z,16.29982376,,,,,,,,,,,,
01:00:00.000Z,01:15:00.000Z,16.29982376,,,,,,,,,,,,
01:15:00.000Z,01:30:00.000Z,16.29982376,,,,,,,,,,,,
01:30:00.000Z,01:45:00.000Z,16.29982376,,,,,,,,,,,,
01:45:00.000Z,02:00:00.000Z,16.29982376,,,,,,,,,,,,
02:00:00.000Z,02:15:00.000Z,16.29982376,,,,,,,,,,,,
02:15:00.000Z,02:30:00.000Z,16.29982376,,,,,,,,,,,,
02:30:00.000Z,02:45:00.000Z,16.29982376,,,,,,,,,,,,
02:45:00.000Z,03:00:00.000Z,16.29982376,,,,,,,,,,,,
03:00:00.000Z,03:15:00.000Z,16.29982376,,,,,,,,,,,,
03:15:00.000Z,03:30:00.000Z,16.29982376,,,,,,,,,,,,
03:30:00.000Z,03:45:00.000Z,16.29982376,,,,,,,,,,,,
03:45:00.000Z,04:00:00.000Z,16.29982376,,,,,,,,,,,,
04:00:00.000Z,04:15:00.000Z,16.29982376,,,,,,,,,,,,
04:15:00.000Z,04:30:00.000Z,16.29982376,,,,,,,,,,,,
04:30:00.000Z,04:45:00.000Z,16.29982376,,,,,,,,,,,,
04:45:00.000Z,05:00:00.000Z,16.29982376,,,,,,,,,,,,
05:00:00.000Z,05:15:00.000Z,16.29982376,,,,,,,,,,,,
05:15:00.000Z,05:30:00.000Z,16.29982376,,,,,,,,,,,,
05:30:00.000Z,05:45:00.000Z,16.29982376,,,,,,,,,,,,
05:45:00.000Z,06:00:00.000Z,16.29982376,,,,,,,,,,,,
06:00:00.000Z,06:15:00.000Z,16.29982376,,,,,,,,,,,,
06:15:00.000Z,06:30:00.000Z,16.29982376,,,,,,,,,,,,
06:30:00.000Z,06:45:00.000Z,16.29982376,,,,,,,,,,,,
06:45:00.000Z,07:00:00.000Z,16.29982376,,,,,,,,,,,,
07:00:00.000Z,07:15:00.000Z,16.29982376,,,,,,,,,,,,
07:15:00.000Z,07:30:00.000Z,16.29982376,,,,,,,,,,,,
07:30:00.000Z,07:45:00.000Z,16.29982376,,,,,,,,,,,,
07:45:00.000Z,08:00:00.000Z,16.29982376,,,,,,,,,,,,
08:00:00.000Z,08:15:00.000Z,16.29982376,,,,,,,,,,,,
08:15:00.000Z,08:30:00.000Z,16.29982376,,,,,,,,,,,,
08:30:00.000Z,08:45:00.000Z,16.29982376,,,,,,,,,,,,
08:45:00.000Z,09:00:00.000Z,16.29982376,,,,,,,,,,,,
09:00:00.000Z,09:15:00.000Z,16.29982376,,,,,,,,,,,,
09:15:00.000Z,09:30:00.000Z,16.29982376,,,,,,,,,,,,
09:30:00.000Z,09:45:00.000Z,16.29982376,,,,,,,,,,,,
09:45:00.000Z,10:00:00.000Z,16.29982376,,,,,,,,,,,,
10:00:00.000Z,10:15:00.000Z,16.29982376,,,,,,,,,,,,
10:15:00.000Z,10:30:00.000Z,16.29982376,,,,,,,,,,,,
10:30:00.000Z,10:45:00.000Z,16.29982376,,,,,,,,,,,,
10:45:00.000Z,11:00:00.000Z,16.29982376,,,,,,,,,,,,
11:00:00.000Z,11:15:00.000Z,16.29982376,,,,,,,,,,,,
11:15:00.000Z,11:30:00.000Z,16.29982376,,,,,,,,,,,,
11:30:00.000Z,11:45:00.000Z,16.29982376,,,,,,,,,,,,
11:45:00.000Z,12:00:00.000Z,16.29982376,,,,,,,,,,,,
12:00:00.000Z,12:15:00.000Z,16.29982376,,,,,,,,,,,,
12:15:00.000Z,12:30:00.000Z,16.29982376,,,,,,,,,,,,
12:30:00.000Z,12:45:00.000Z,16.29982376,,,,,,,,,,,,
12:45:00.000Z,13:00:00.000Z,16.29982376,,,,,,,,,,,,
13:00:00.000Z,13:15:00.000Z,16.29982376,,,,,,,,,,,,
13:15:00.000Z,13:30:00.000Z,16.29982376,,,,,,,,,,,,
13:30:00.000Z,13:45:00.000Z,16.29982376,,,,,,,,,,,,
13:45:00.000Z,14:00:00.000Z,16.29982376,,,,,,,,,,,,
14:00:00.000Z,14:15:00.000Z,16.29982376,,,,,,,,,,,,
14:15:00.000Z,14:30:00.000Z,16.29982376,,,,,,,,,,,,
14:30:00.000Z,14:45:00.000Z,16.29982376,,,,,,,,,,,,
14:45:00.000Z,15:00:00.000Z,16.29982376,,,,,,,,,,,,
15:00:00.000Z,15:15:00.000Z,16.29982376,,,,,,,,,,,,
15:15:00.000Z,15:30:00.000Z,16.29982376,,,,,,,,,,,,
15:30:00.000Z,15:45:00.000Z,16.29982376,,,,,,,,,,,,
15:45:00.000Z,16:00:00.000Z,16.29982376,,,,,,,,,,,,
16:00:00.000Z,16:15:00.000Z,16.29982376,,,,,,,,,,,,
16:15:00.000Z,16:30:00.000Z,16.29982376,,,,,,,,,,,,
16:30:00.000Z,16:45:00.000Z,16.29982376,,,,,,,,,,,,
16:45:00.000Z,17:00:00.000Z,16.29982376,,,,,,,,,,,,
17:00:00.000Z,17:15:00.000Z,16.29982376,,,,,,,,,,,,
17:15:00.000Z,17:30:00.000Z,16.2998238,,,,,,1,73.02831268,73.02831268,73.02831268,,,287769
17:30:00.000Z,17:45:00.000Z,16.29982376,,,,,,,,,,,,900000
17:45:00.000Z,18:00:00.000Z,16.29982376,,,,,,20,,,,,,900000
18:00:00.000Z,18:15:00.000Z,16.29982376,,,,,,,,,,,,900000
18:15:00.000Z,18:30:00.000Z,16.29982376,,,,,,,,,,,,900000
18:30:00.000Z,18:45:00.000Z,16.29982376,,,,,,,,,,,,900000
18:45:00.000Z,19:00:00.000Z,16.29982376,,,,,,2,,,,,,900000
19:00:00.000Z,19:15:00.000Z,16.29982376,,,,,,1,,,,,,900000
19:15:00.000Z,19:30:00.000Z,16.29982376,,,,,,,,,,,,900000
19:30:00.000Z,19:45:00.000Z,16.29982376,18.20173454,,0.303362221,0.303362221,0.303362221,51,,,,,,900000
19:45:00.000Z,20:00:00.000Z,16.29982376,,,,,,29,,,,,,900000
20:00:00.000Z,20:15:00.000Z,16.29982376,,,,,,,,,,,,900000
20:15:00.000Z,20:30:00.000Z,16.29982376,,,,,,1,,,,,,900000
20:30:00.000Z,20:45:00.000Z,16.29982376,36.40346909,,0.313823014,0.313823014,0.313823014,58,,,,1,,900000
20:45:00.000Z,21:00:00.000Z,16.29982376,,,,,,1,,,,,,900000
21:00:00.000Z,21:15:00.000Z,16.29982376,,,,,,,,,,,,900000
21:15:00.000Z,21:30:00.000Z,16.29982401,,,,,,,,,,,,900000
21:30:00.000Z,21:45:00.000Z,16.29982453,12.71203391,,,,,20,,,,,,900000
21:45:00.000Z,22:00:00.000Z,16.29982523,166.7947334,,0.313956484,0.314089984,0.313822985,284,,,,8,,300876
22:00:00.000Z,22:15:00.000Z,16.29982567,,,,,,,,,,,,900000
22:15:00.000Z,22:30:00.000Z,16.29982567,,,,,,,,,,,,900000
22:30:00.000Z,22:45:00.000Z,16.29982567,,,,,,,,,,,,900000
22:45:00.000Z,23:00:00.000Z,16.29982567,,,,,,,,,,,,900000
23:00:00.000Z,23:15:00.000Z,16.29982567,,,,,,,,,,,,900000
23:15:00.000Z,23:30:00.000Z,16.29982567,,,,,,,,,,,,900000
23:30:00.000Z,23:45:00.000Z,16.29982567,,,,,,,,,,,,900000
23:45:00.000Z,00:00:00.000Z,16.29982567,,,,,,,,,,,,900000
